Exercise,Muscle Group
Abdominal,abs
Prancha,abs
Abdominal Bicicleta,abs
Elevação de Pernas,abs
Abdominal Infra,abs
Abdominal Oblíquo,abs
Ab Wheel Rollout,abs
Supino Reto,chest
Supino Inclinado,chest
Supino Declinado,chest
Flexões,chest
Crucifixo com Halteres,chest
Peck Deck,chest
Cross Over,chest
Desenvolvimento com Halteres,shoulder
Elevação Lateral,shoulder
Elevação Frontal,shoulder
Desenvolvimento Arnold,shoulder
Remada Alta,shoulder
Crucifixo Invertido,shoulder
Desenvolvimento Militar,shoulder
Tríceps no Pulley,triceps
Mergulho,triceps
Extensão de Tríceps com Halter,triceps
Supino Fechado,triceps
Tríceps Francês,triceps
Kickback,triceps
Tríceps Coice na Polia,triceps
Rosca Direta com Barra,biceps
Rosta Alternada com Halteres,biceps
Rosca Scott,biceps
Rosca Concentrada,biceps
Rosca Martelo,biceps
Rosca Inversa,biceps
Rosca na Polia,biceps
Rosca Inversa,forearm
Rosca de Punho,forearm
Rosca de Punho Invertida,forearm
Grip Strengthener,forearm
Farmer's walk,forearm
Pronação e supinação com halteres,forearm
Pulso na barra,forearm
Encolhimento com Barra,trapezius
Encolhimento com Halteres,trapezius
Remada Alta,trapezius
Encolhimento na Máquina,trapezius
Face pulls,trapezius
Remada com Pegada Larga,trapezius
Levantamento Terra (Deadlift),trapezius
Levantamento Terra (Deadlift),back
Remada Curvada,back
Puxada alta,back
Remada Unilateral com Halteres,back
Remada na Máquina,back
Pull-ups/Chin-ups,back
Pullover com halteres,back
Agachamento (Squat),quads
Leg Press,quads
Afundo,quads
Cadeira Extensora,quads
Agachamento sumô,quads
Agachamento Frontal,quads
Hack Squat,quads
Levantamento Terra Romeno,post
Cadeira Flexora,post
Agachamento Sumô,post
Good Mornings,post
Leg curl na Bola Suíça,post
Stiff leg deadlift,post
Glute ham raise,post
Elevação pélvica (Hip thurst),glute
Agachamento Sumô,glute
Avanço (Lunges),glute
Stiff leg deadlift,glute
Leg Press com os Pés Altos,glute
Glute bridge,glute
Máquina Abdutora,glute
Elevação de Pànturrilha em Pé,calf
Elevação de Panturrilha Sentado,calf
Elevação de Panturrilha no Smith,calf
Elevação de Panturrilha Unilateral,calf
Elevação de Panturrilha no LegPress,calf
Saltos de Panturrilha,calf
Elevação de Panturrilha em Escada,calf